state,mercatus fiscal idx
Alabama,0.56
Alaska,0.04
Arizona,-0.72
Arkansas,-0.03
California,-1.06
Colorado,-0.60
Connecticut,-0.89
Delaware,-0.62
Florida ,3.52
Georgia,-0.10
Hawaii,-0.51
Idaho,1.36
Illinois,-2.05
Indiana,0.07
Iowa,-0.55
Kansas,-0.67
Kentucky,-1.38
Louisiana,-1.08
Maine,-0.84
Maryland,-1.09
Massachusetts,-2.00
Michigan,-0.87
Minnesota,-0.32
Mississippi,-0.74
Missouri,0.86
Montana,1.32
Nebraska,2.02
Nevada,0.37
New Hampshire,-0.35
New Jersey,-2.18
New Mexico,-0.97
New York,-0.93
North Carolina,0.36
North Dakota,3.48
Ohio,0.40
Oklahoma,1.80
Oregon,-0.10
Pennsylvania,-1.09
Rhode Island,-0.92
South Carolina,-0.02
South Dakota,3.02
Tennessee,1.72
Texas,-0.30
Utah,2.86
Vermont,-0.96
Virginia,0.03
Washington,-0.50
West Virginia,-1.04
Wisconsin,-0.56
Wyoming,2.25
